Name,models.hid_features,models.K,speed-up,test CSI_005,test CSI_03,test roll loss V,test roll loss WD,total parameters,val_CSI_005,val_CSI_03,val_loss
lucky-sweep-1,16,10,716.7809634,0.613625646,0.309091896,0.012304787,0.182927176,16068,0.687509477,0.45077157,0.12336725
wandering-sweep-5,16,12,623.8811491,0.572054923,0.332210302,0.011533909,0.20814836,17092,0.665233433,0.452016771,0.132072777
deft-sweep-9,16,14,538.8030441,0.642205238,0.399036855,0.011238903,0.173336804,18116,0.690266967,0.44163835,0.146111965
wise-sweep-13,16,16,436.797772,0.479453713,0.201083183,0.009957446,0.203668982,19140,0.614469647,0.366214216,0.149209946
flowing-sweep-17,16,18,376.4684555,0.627518296,0.317362219,0.014321156,0.181947857,20164,0.688906491,0.437118828,0.127501547
hardy-sweep-2,32,10,400.8121014,0.636253178,0.33211714,0.011645377,0.177404553,63348,0.714439154,0.462764978,0.120440692
fancy-sweep-6,32,12,359.8185608,0.568023503,0.31143254,0.009791699,0.207791358,67444,0.691741228,0.440214574,0.134375751
wild-sweep-10,32,14,319.2839878,0.59280026,0.313448787,0.00946247,0.183645442,71540,0.673126698,0.37871325,0.144873634
neat-sweep-14,32,16,261.9435808,0.606562555,0.338508368,0.009756431,0.191132754,75636,0.658343017,0.427898258,0.124834538
kind-sweep-20,32,18,239.2401574,0.676560163,0.423417598,0.009513915,0.175190866,79732,0.70717895,0.472594917,0.138069689
bright-sweep-3,50,10,225.9620273,0.539716542,0.248505041,0.011382015,0.205911279,153870,0.620067179,0.322806865,0.14239344
warm-sweep-13,50,12,191.7286409,0.435406506,0.199033767,0.010616575,0.228532001,163870,0.521416843,0.240661934,0.154715702
fluent-sweep-15,50,14,214.0479137,0.609870255,0.340304971,0.009368974,0.174592599,173870,0.647904098,0.463343948,0.148153856
lilac-sweep-17,50,16,192.6200369,0.550083041,0.291445434,0.010123384,0.19041197,183870,0.643218398,0.435981035,0.142901152
comic-sweep-18,50,18,142.0517384,0.683161855,0.490426809,0.008636642,0.16158393,193870,0.729661703,0.51873666,0.119091466
playful-sweep-12,64,10,221.7834275,0.628930449,0.382066071,0.011826319,0.180702284,251604,0.713552117,0.474439949,0.138913065
honest-sweep-14,64,12,192.0548528,0.65485543,0.386276901,0.00964292,0.223200843,267988,0.695281982,0.433870614,0.152405053
dauntless-sweep-16,64,14,160.5461777,0.467354864,0.241605997,0.010955572,0.230416968,284372,0.470156848,0.237662822,0.170927525
clean-sweep-17,64,16,163.0088221,0.659109414,0.454570979,0.008934801,0.158884853,300756,0.73513329,0.536394477,0.119318724
chocolate-sweep-19,64,18,,,,,,317140,0.734540522,0.517251194,0.130479887
